filepath,modality,channel,emotion,intensity,statement,repetition,actor,gender,label
../data/Actor_01\03-01-06-02-02-01-01.wav,3,1,6,2,2,1,1,male,fearful
../data/Actor_01\03-01-06-02-02-02-01.wav,3,1,6,2,2,2,1,male,fearful
../data/Actor_01\03-01-07-01-01-01-01.wav,3,1,7,1,1,1,1,male,disgust
../data/Actor_01\03-01-07-01-01-02-01.wav,3,1,7,1,1,2,1,male,disgust
../data/Actor_01\03-01-07-01-02-01-01.wav,3,1,7,1,2,1,1,male,disgust
../data/Actor_01\03-01-07-01-02-02-01.wav,3,1,7,1,2,2,1,male,disgust
../data/Actor_01\03-01-07-02-01-01-01.wav,3,1,7,2,1,1,1,male,disgust
../data/Actor_01\03-01-07-02-01-02-01.wav,3,1,7,2,1,2,1,male,disgust
../data/Actor_01\03-01-07-02-02-01-01.wav,3,1,7,2,2,1,1,male,disgust
../data/Actor_01\03-01-07-02-02-02-01.wav,3,1,7,2,2,2,1,male,disgust
../data/Actor_01\03-01-08-01-01-01-01.wav,3,1,8,1,1,1,1,male,surprised
../data/Actor_01\03-01-08-01-01-02-01.wav,3,1,8,1,1,2,1,male,surprised
../data/Actor_01\03-01-08-01-02-01-01.wav,3,1,8,1,2,1,1,male,surprised
../data/Actor_01\03-01-08-01-02-02-01.wav,3,1,8,1,2,2,1,male,surprised
../data/Actor_01\03-01-08-02-01-01-01.wav,3,1,8,2,1,1,1,male,surprised
../data/Actor_01\03-01-08-02-01-02-01.wav,3,1,8,2,1,2,1,male,surprised
../data/Actor_01\03-01-08-02-02-01-01.wav,3,1,8,2,2,1,1,male,surprised
../data/Actor_01\03-01-08-02-02-02-01.wav,3,1,8,2,2,2,1,male,surprised
../data/Actor_01\03-02-01-01-01-01-01.wav,3,2,1,1,1,1,1,male,neutral
../data/Actor_01\03-02-01-01-01-02-01.wav,3,2,1,1,1,2,1,male,neutral
../data/Actor_01\03-02-01-01-02-01-01.wav,3,2,1,1,2,1,1,male,neutral
../data/Actor_01\03-02-01-01-02-02-01.wav,3,2,1,1,2,2,1,male,neutral
../data/Actor_01\03-02-02-01-01-01-01.wav,3,2,2,1,1,1,1,male,calm
../data/Actor_01\03-02-02-01-01-02-01.wav,3,2,2,1,1,2,1,male,calm
../data/Actor_01\03-02-02-01-02-01-01.wav,3,2,2,1,2,1,1,male,calm
../data/Actor_01\03-02-02-01-02-02-01.wav,3,2,2,1,2,2,1,male,calm
../data/Actor_01\03-02-02-02-01-01-01.wav,3,2,2,2,1,1,1,male,calm
../data/Actor_01\03-02-02-02-01-02-01.wav,3,2,2,2,1,2,1,male,calm
../data/Actor_01\03-02-02-02-02-01-01.wav,3,2,2,2,2,1,1,male,calm
../data/Actor_01\03-02-02-02-02-02-01.wav,3,2,2,2,2,2,1,male,calm
../data/Actor_01\03-02-03-01-01-01-01.wav,3,2,3,1,1,1,1,male,happy
../data/Actor_01\03-02-03-01-01-02-01.wav,3,2,3,1,1,2,1,male,happy
../data/Actor_01\03-02-03-01-02-01-01.wav,3,2,3,1,2,1,1,male,happy
../data/Actor_01\03-02-03-01-02-02-01.wav,3,2,3,1,2,2,1,male,happy
../data/Actor_01\03-02-03-02-01-01-01.wav,3,2,3,2,1,1,1,male,happy
../data/Actor_01\03-02-03-02-01-02-01.wav,3,2,3,2,1,2,1,male,happy
../data/Actor_01\03-02-03-02-02-01-01.wav,3,2,3,2,2,1,1,male,happy
../data/Actor_01\03-02-03-02-02-02-01.wav,3,2,3,2,2,2,1,male,happy
../data/Actor_01\03-02-04-01-01-01-01.wav,3,2,4,1,1,1,1,male,sad
../data/Actor_01\03-02-04-01-01-02-01.wav,3,2,4,1,1,2,1,male,sad
../data/Actor_01\03-02-04-01-02-01-01.wav,3,2,4,1,2,1,1,male,sad
../data/Actor_01\03-02-04-01-02-02-01.wav,3,2,4,1,2,2,1,male,sad
../data/Actor_01\03-02-04-02-01-01-01.wav,3,2,4,2,1,1,1,male,sad
../data/Actor_01\03-02-04-02-01-02-01.wav,3,2,4,2,1,2,1,male,sad
../data/Actor_01\03-02-04-02-02-01-01.wav,3,2,4,2,2,1,1,male,sad
../data/Actor_01\03-02-04-02-02-02-01.wav,3,2,4,2,2,2,1,male,sad
../data/Actor_01\03-02-05-01-01-01-01.wav,3,2,5,1,1,1,1,male,angry
../data/Actor_01\03-02-05-01-01-02-01.wav,3,2,5,1,1,2,1,male,angry
../data/Actor_01\03-02-05-01-02-01-01.wav,3,2,5,1,2,1,1,male,angry
../data/Actor_01\03-02-05-01-02-02-01.wav,3,2,5,1,2,2,1,male,angry
../data/Actor_01\03-02-05-02-01-01-01.wav,3,2,5,2,1,1,1,male,angry
../data/Actor_01\03-02-05-02-01-02-01.wav,3,2,5,2,1,2,1,male,angry
../data/Actor_01\03-02-05-02-02-01-01.wav,3,2,5,2,2,1,1,male,angry
../data/Actor_01\03-02-05-02-02-02-01.wav,3,2,5,2,2,2,1,male,angry
../data/Actor_01\03-02-06-01-01-01-01.wav,3,2,6,1,1,1,1,male,fearful
../data/Actor_01\03-02-06-01-01-02-01.wav,3,2,6,1,1,2,1,male,fearful
../data/Actor_01\03-02-06-01-02-01-01.wav,3,2,6,1,2,1,1,male,fearful
../data/Actor_01\03-02-06-01-02-02-01.wav,3,2,6,1,2,2,1,male,fearful
../data/Actor_01\03-02-06-02-01-01-01.wav,3,2,6,2,1,1,1,male,fearful
../data/Actor_01\03-02-06-02-01-02-01.wav,3,2,6,2,1,2,1,male,fearful
../data/Actor_01\03-02-06-02-02-01-01.wav,3,2,6,2,2,1,1,male,fearful
../data/Actor_01\03-02-06-02-02-02-01.wav,3,2,6,2,2,2,1,male,fearful
../data/Actor_02\03-01-01-01-01-01-02.wav,3,1,1,1,1,1,2,female,neutral
../data/Actor_02\03-01-01-01-01-02-02.wav,3,1,1,1,1,2,2,female,neutral
../data/Actor_02\03-01-01-01-02-01-02.wav,3,1,1,1,2,1,2,female,neutral
../data/Actor_02\03-01-01-01-02-02-02.wav,3,1,1,1,2,2,2,female,neutral
../data/Actor_02\03-01-02-01-01-01-02.wav,3,1,2,1,1,1,2,female,calm
../data/Actor_02\03-01-02-01-01-02-02.wav,3,1,2,1,1,2,2,female,calm
../data/Actor_02\03-01-02-01-02-01-02.wav,3,1,2,1,2,1,2,female,calm
../data/Actor_02\03-01-02-01-02-02-02.wav,3,1,2,1,2,2,2,female,calm
../data/Actor_02\03-01-02-02-01-01-02.wav,3,1,2,2,1,1,2,female,calm
../data/Actor_02\03-01-02-02-01-02-02.wav,3,1,2,2,1,2,2,female,calm
../data/Actor_02\03-01-02-02-02-01-02.wav,3,1,2,2,2,1,2,female,calm
../data/Actor_02\03-01-02-02-02-02-02.wav,3,1,2,2,2,2,2,female,calm
../data/Actor_02\03-01-03-01-01-01-02.wav,3,1,3,1,1,1,2,female,happy
../data/Actor_02\03-01-03-01-01-02-02.wav,3,1,3,1,1,2,2,female,happy
../data/Actor_02\03-01-03-01-02-01-02.wav,3,1,3,1,2,1,2,female,happy
../data/Actor_02\03-01-03-01-02-02-02.wav,3,1,3,1,2,2,2,female,happy
../data/Actor_02\03-01-03-02-01-01-02.wav,3,1,3,2,1,1,2,female,happy
../data/Actor_02\03-01-03-02-01-02-02.wav,3,1,3,2,1,2,2,female,happy
../data/Actor_02\03-01-03-02-02-01-02.wav,3,1,3,2,2,1,2,female,happy
../data/Actor_02\03-01-03-02-02-02-02.wav,3,1,3,2,2,2,2,female,happy
../data/Actor_02\03-01-04-01-01-01-02.wav,3,1,4,1,1,1,2,female,sad
../data/Actor_02\03-01-04-01-01-02-02.wav,3,1,4,1,1,2,2,female,sad
../data/Actor_02\03-01-04-01-02-01-02.wav,3,1,4,1,2,1,2,female,sad
../data/Actor_02\03-01-04-01-02-02-02.wav,3,1,4,1,2,2,2,female,sad
../data/Actor_02\03-01-04-02-01-01-02.wav,3,1,4,2,1,1,2,female,sad
../data/Actor_02\03-01-04-02-01-02-02.wav,3,1,4,2,1,2,2,female,sad
../data/Actor_02\03-01-04-02-02-01-02.wav,3,1,4,2,2,1,2,female,sad
../data/Actor_02\03-01-04-02-02-02-02.wav,3,1,4,2,2,2,2,female,sad
../data/Actor_02\03-01-05-01-01-01-02.wav,3,1,5,1,1,1,2,female,angry
../data/Actor_02\03-01-05-01-01-02-02.wav,3,1,5,1,1,2,2,female,angry
../data/Actor_02\03-01-05-01-02-01-02.wav,3,1,5,1,2,1,2,female,angry
../data/Actor_02\03-01-05-01-02-02-02.wav,3,1,5,1,2,2,2,female,angry
../data/Actor_02\03-01-05-02-01-01-02.wav,3,1,5,2,1,1,2,female,angry
../data/Actor_02\03-01-05-02-01-02-02.wav,3,1,5,2,1,2,2,female,angry
../data/Actor_02\03-01-05-02-02-01-02.wav,3,1,5,2,2,1,2,female,angry
../data/Actor_02\03-01-05-02-02-02-02.wav,3,1,5,2,2,2,2,female,angry
../data/Actor_02\03-01-06-01-01-01-02.wav,3,1,6,1,1,1,2,female,fearful
../data/Actor_02\03-01-06-01-01-02-02.wav,3,1,6,1,1,2,2,female,fearful
../data/Actor_02\03-01-06-01-02-01-02.wav,3,1,6,1,2,1,2,female,fearful
../data/Actor_02\03-01-06-01-02-02-02.wav,3,1,6,1,2,2,2,female,fearful
../data/Actor_02\03-01-06-02-01-01-02.wav,3,1,6,2,1,1,2,female,fearful
../data/Actor_02\03-01-06-02-01-02-02.wav,3,1,6,2,1,2,2,female,fearful
../data/Actor_02\03-01-06-02-02-01-02.wav,3,1,6,2,2,1,2,female,fearful
../data/Actor_02\03-01-06-02-02-02-02.wav,3,1,6,2,2,2,2,female,fearful
../data/Actor_02\03-01-07-01-01-01-02.wav,3,1,7,1,1,1,2,female,disgust
../data/Actor_02\03-01-07-01-01-02-02.wav,3,1,7,1,1,2,2,female,disgust
../data/Actor_02\03-01-07-01-02-01-02.wav,3,1,7,1,2,1,2,female,disgust
../data/Actor_02\03-01-07-01-02-02-02.wav,3,1,7,1,2,2,2,female,disgust
../data/Actor_02\03-01-07-02-01-01-02.wav,3,1,7,2,1,1,2,female,disgust
../data/Actor_02\03-01-07-02-01-02-02.wav,3,1,7,2,1,2,2,female,disgust
../data/Actor_02\03-01-07-02-02-01-02.wav,3,1,7,2,2,1,2,female,disgust
../data/Actor_02\03-01-07-02-02-02-02.wav,3,1,7,2,2,2,2,female,disgust
../data/Actor_02\03-01-08-01-01-01-02.wav,3,1,8,1,1,1,2,female,surprised
../data/Actor_02\03-01-08-01-01-02-02.wav,3,1,8,1,1,2,2,female,surprised
../data/Actor_02\03-01-08-01-02-01-02.wav,3,1,8,1,2,1,2,female,surprised
../data/Actor_02\03-01-08-01-02-02-02.wav,3,1,8,1,2,2,2,female,surprised
../data/Actor_02\03-01-08-02-01-01-02.wav,3,1,8,2,1,1,2,female,surprised
../data/Actor_02\03-01-08-02-01-02-02.wav,3,1,8,2,1,2,2,female,surprised
../data/Actor_02\03-01-08-02-02-01-02.wav,3,1,8,2,2,1,2,female,surprised
../data/Actor_02\03-01-08-02-02-02-02.wav,3,1,8,2,2,2,2,female,surprised
../data/Actor_02\03-02-01-01-01-01-02.wav,3,2,1,1,1,1,2,female,neutral
../data/Actor_02\03-02-01-01-01-02-02.wav,3,2,1,1,1,2,2,female,neutral
../data/Actor_02\03-02-01-01-02-01-02.wav,3,2,1,1,2,1,2,female,neutral
../data/Actor_02\03-02-01-01-02-02-02.wav,3,2,1,1,2,2,2,female,neutral
../data/Actor_02\03-02-02-01-01-01-02.wav,3,2,2,1,1,1,2,female,calm
../data/Actor_02\03-02-02-01-01-02-02.wav,3,2,2,1,1,2,2,female,calm
../data/Actor_02\03-02-02-01-02-01-02.wav,3,2,2,1,2,1,2,female,calm
../data/Actor_02\03-02-02-01-02-02-02.wav,3,2,2,1,2,2,2,female,calm
../data/Actor_02\03-02-02-02-01-01-02.wav,3,2,2,2,1,1,2,female,calm
../data/Actor_02\03-02-02-02-01-02-02.wav,3,2,2,2,1,2,2,female,calm
../data/Actor_02\03-02-02-02-02-01-02.wav,3,2,2,2,2,1,2,female,calm
../data/Actor_02\03-02-02-02-02-02-02.wav,3,2,2,2,2,2,2,female,calm
../data/Actor_02\03-02-03-01-01-01-02.wav,3,2,3,1,1,1,2,female,happy
../data/Actor_02\03-02-03-01-01-02-02.wav,3,2,3,1,1,2,2,female,happy
../data/Actor_02\03-02-03-01-02-01-02.wav,3,2,3,1,2,1,2,female,happy
../data/Actor_02\03-02-03-01-02-02-02.wav,3,2,3,1,2,2,2,female,happy
../data/Actor_02\03-02-03-02-01-01-02.wav,3,2,3,2,1,1,2,female,happy
../data/Actor_02\03-02-03-02-01-02-02.wav,3,2,3,2,1,2,2,female,happy
../data/Actor_02\03-02-03-02-02-01-02.wav,3,2,3,2,2,1,2,female,happy
../data/Actor_02\03-02-03-02-02-02-02.wav,3,2,3,2,2,2,2,female,happy
../data/Actor_02\03-02-04-01-01-01-02.wav,3,2,4,1,1,1,2,female,sad
../data/Actor_02\03-02-04-01-01-02-02.wav,3,2,4,1,1,2,2,female,sad
../data/Actor_02\03-02-04-01-02-01-02.wav,3,2,4,1,2,1,2,female,sad
../data/Actor_02\03-02-04-01-02-02-02.wav,3,2,4,1,2,2,2,female,sad
../data/Actor_02\03-02-04-02-01-01-02.wav,3,2,4,2,1,1,2,female,sad
../data/Actor_02\03-02-04-02-01-02-02.wav,3,2,4,2,1,2,2,female,sad
../data/Actor_02\03-02-04-02-02-01-02.wav,3,2,4,2,2,1,2,female,sad
../data/Actor_02\03-02-04-02-02-02-02.wav,3,2,4,2,2,2,2,female,sad
../data/Actor_02\03-02-05-01-01-01-02.wav,3,2,5,1,1,1,2,female,angry
../data/Actor_02\03-02-05-01-01-02-02.wav,3,2,5,1,1,2,2,female,angry
../data/Actor_02\03-02-05-01-02-01-02.wav,3,2,5,1,2,1,2,female,angry
../data/Actor_02\03-02-05-01-02-02-02.wav,3,2,5,1,2,2,2,female,angry
../data/Actor_02\03-02-05-02-01-01-02.wav,3,2,5,2,1,1,2,female,angry
../data/Actor_02\03-02-05-02-01-02-02.wav,3,2,5,2,1,2,2,female,angry
../data/Actor_02\03-02-05-02-02-01-02.wav,3,2,5,2,2,1,2,female,angry
../data/Actor_02\03-02-05-02-02-02-02.wav,3,2,5,2,2,2,2,female,angry
../data/Actor_02\03-02-06-01-01-01-02.wav,3,2,6,1,1,1,2,female,fearful
../data/Actor_02\03-02-06-01-01-02-02.wav,3,2,6,1,1,2,2,female,fearful
../data/Actor_02\03-02-06-01-02-01-02.wav,3,2,6,1,2,1,2,female,fearful
../data/Actor_02\03-02-06-01-02-02-02.wav,3,2,6,1,2,2,2,female,fearful
../data/Actor_02\03-02-06-02-01-01-02.wav,3,2,6,2,1,1,2,female,fearful
../data/Actor_02\03-02-06-02-01-02-02.wav,3,2,6,2,1,2,2,female,fearful
../data/Actor_02\03-02-06-02-02-01-02.wav,3,2,6,2,2,1,2,female,fearful
../data/Actor_02\03-02-06-02-02-02-02.wav,3,2,6,2,2,2,2,female,fearful
../data/Actor_03\03-01-01-01-01-01-03.wav,3,1,1,1,1,1,3,male,neutral
../data/Actor_03\03-01-01-01-01-02-03.wav,3,1,1,1,1,2,3,male,neutral
../data/Actor_03\03-01-01-01-02-01-03.wav,3,1,1,1,2,1,3,male,neutral
../data/Actor_03\03-01-01-01-02-02-03.wav,3,1,1,1,2,2,3,male,neutral
../data/Actor_03\03-01-02-01-01-01-03.wav,3,1,2,1,1,1,3,male,calm
../data/Actor_03\03-01-02-01-01-02-03.wav,3,1,2,1,1,2,3,male,calm
../data/Actor_03\03-01-02-01-02-01-03.wav,3,1,2,1,2,1,3,male,calm
../data/Actor_03\03-01-02-01-02-02-03.wav,3,1,2,1,2,2,3,male,calm
../data/Actor_03\03-01-02-02-01-01-03.wav,3,1,2,2,1,1,3,male,calm
../data/Actor_03\03-01-02-02-01-02-03.wav,3,1,2,2,1,2,3,male,calm
../data/Actor_03\03-01-02-02-02-01-03.wav,3,1,2,2,2,1,3,male,calm
../data/Actor_03\03-01-02-02-02-02-03.wav,3,1,2,2,2,2,3,male,calm
../data/Actor_03\03-01-03-01-01-01-03.wav,3,1,3,1,1,1,3,male,happy
../data/Actor_03\03-01-03-01-01-02-03.wav,3,1,3,1,1,2,3,male,happy
../data/Actor_03\03-01-03-01-02-01-03.wav,3,1,3,1,2,1,3,male,happy
../data/Actor_03\03-01-03-01-02-02-03.wav,3,1,3,1,2,2,3,male,happy
../data/Actor_03\03-01-03-02-01-01-03.wav,3,1,3,2,1,1,3,male,happy
../data/Actor_03\03-01-03-02-01-02-03.wav,3,1,3,2,1,2,3,male,happy
../data/Actor_03\03-01-03-02-02-01-03.wav,3,1,3,2,2,1,3,male,happy
../data/Actor_03\03-01-03-02-02-02-03.wav,3,1,3,2,2,2,3,male,happy
../data/Actor_03\03-01-04-01-01-01-03.wav,3,1,4,1,1,1,3,male,sad
../data/Actor_03\03-01-04-01-01-02-03.wav,3,1,4,1,1,2,3,male,sad
../data/Actor_03\03-01-04-01-02-01-03.wav,3,1,4,1,2,1,3,male,sad
../data/Actor_03\03-01-04-01-02-02-03.wav,3,1,4,1,2,2,3,male,sad
../data/Actor_03\03-01-04-02-01-01-03.wav,3,1,4,2,1,1,3,male,sad
../data/Actor_03\03-01-04-02-01-02-03.wav,3,1,4,2,1,2,3,male,sad
../data/Actor_03\03-01-04-02-02-01-03.wav,3,1,4,2,2,1,3,male,sad
../data/Actor_03\03-01-04-02-02-02-03.wav,3,1,4,2,2,2,3,male,sad
../data/Actor_03\03-01-05-01-01-01-03.wav,3,1,5,1,1,1,3,male,angry
../data/Actor_03\03-01-05-01-01-02-03.wav,3,1,5,1,1,2,3,male,angry
../data/Actor_03\03-01-05-01-02-01-03.wav,3,1,5,1,2,1,3,male,angry
../data/Actor_03\03-01-05-01-02-02-03.wav,3,1,5,1,2,2,3,male,angry
../data/Actor_03\03-01-05-02-01-01-03.wav,3,1,5,2,1,1,3,male,angry
../data/Actor_03\03-01-05-02-01-02-03.wav,3,1,5,2,1,2,3,male,angry
../data/Actor_03\03-01-05-02-02-01-03.wav,3,1,5,2,2,1,3,male,angry
../data/Actor_03\03-01-05-02-02-02-03.wav,3,1,5,2,2,2,3,male,angry
../data/Actor_03\03-01-06-01-01-01-03.wav,3,1,6,1,1,1,3,male,fearful
../data/Actor_03\03-01-06-01-01-02-03.wav,3,1,6,1,1,2,3,male,fearful
../data/Actor_03\03-01-06-01-02-01-03.wav,3,1,6,1,2,1,3,male,fearful
../data/Actor_03\03-01-06-01-02-02-03.wav,3,1,6,1,2,2,3,male,fearful
../data/Actor_03\03-01-06-02-01-01-03.wav,3,1,6,2,1,1,3,male,fearful
../data/Actor_03\03-01-06-02-01-02-03.wav,3,1,6,2,1,2,3,male,fearful
../data/Actor_03\03-01-06-02-02-01-03.wav,3,1,6,2,2,1,3,male,fearful
../data/Actor_03\03-01-06-02-02-02-03.wav,3,1,6,2,2,2,3,male,fearful
../data/Actor_03\03-01-07-01-01-01-03.wav,3,1,7,1,1,1,3,male,disgust
../data/Actor_03\03-01-07-01-01-02-03.wav,3,1,7,1,1,2,3,male,disgust
../data/Actor_03\03-01-07-01-02-01-03.wav,3,1,7,1,2,1,3,male,disgust
../data/Actor_03\03-01-07-01-02-02-03.wav,3,1,7,1,2,2,3,male,disgust
../data/Actor_03\03-01-07-02-01-01-03.wav,3,1,7,2,1,1,3,male,disgust
../data/Actor_03\03-01-07-02-01-02-03.wav,3,1,7,2,1,2,3,male,disgust
../data/Actor_03\03-01-07-02-02-01-03.wav,3,1,7,2,2,1,3,male,disgust
../data/Actor_03\03-01-07-02-02-02-03.wav,3,1,7,2,2,2,3,male,disgust
../data/Actor_03\03-01-08-01-01-01-03.wav,3,1,8,1,1,1,3,male,surprised
../data/Actor_03\03-01-08-01-01-02-03.wav,3,1,8,1,1,2,3,male,surprised
../data/Actor_03\03-01-08-01-02-01-03.wav,3,1,8,1,2,1,3,male,surprised
../data/Actor_03\03-01-08-01-02-02-03.wav,3,1,8,1,2,2,3,male,surprised
../data/Actor_03\03-01-08-02-01-01-03.wav,3,1,8,2,1,1,3,male,surprised
../data/Actor_03\03-01-08-02-01-02-03.wav,3,1,8,2,1,2,3,male,surprised
../data/Actor_03\03-01-08-02-02-01-03.wav,3,1,8,2,2,1,3,male,surprised
../data/Actor_03\03-01-08-02-02-02-03.wav,3,1,8,2,2,2,3,male,surprised
../data/Actor_03\03-02-01-01-01-01-03.wav,3,2,1,1,1,1,3,male,neutral
../data/Actor_03\03-02-01-01-01-02-03.wav,3,2,1,1,1,2,3,male,neutral
../data/Actor_03\03-02-01-01-02-01-03.wav,3,2,1,1,2,1,3,male,neutral
../data/Actor_03\03-02-01-01-02-02-03.wav,3,2,1,1,2,2,3,male,neutral
../data/Actor_03\03-02-02-01-01-01-03.wav,3,2,2,1,1,1,3,male,calm
../data/Actor_03\03-02-02-01-01-02-03.wav,3,2,2,1,1,2,3,male,calm
../data/Actor_03\03-02-02-01-02-01-03.wav,3,2,2,1,2,1,3,male,calm
../data/Actor_03\03-02-02-01-02-02-03.wav,3,2,2,1,2,2,3,male,calm
../data/Actor_03\03-02-02-02-01-01-03.wav,3,2,2,2,1,1,3,male,calm
../data/Actor_03\03-02-02-02-01-02-03.wav,3,2,2,2,1,2,3,male,calm
../data/Actor_03\03-02-02-02-02-01-03.wav,3,2,2,2,2,1,3,male,calm
../data/Actor_03\03-02-02-02-02-02-03.wav,3,2,2,2,2,2,3,male,calm
../data/Actor_03\03-02-03-01-01-01-03.wav,3,2,3,1,1,1,3,male,happy
../data/Actor_03\03-02-03-01-01-02-03.wav,3,2,3,1,1,2,3,male,happy
../data/Actor_03\03-02-03-01-02-01-03.wav,3,2,3,1,2,1,3,male,happy
../data/Actor_03\03-02-03-01-02-02-03.wav,3,2,3,1,2,2,3,male,happy
../data/Actor_03\03-02-03-02-01-01-03.wav,3,2,3,2,1,1,3,male,happy
../data/Actor_03\03-02-03-02-01-02-03.wav,3,2,3,2,1,2,3,male,happy
../data/Actor_03\03-02-03-02-02-01-03.wav,3,2,3,2,2,1,3,male,happy
../data/Actor_03\03-02-03-02-02-02-03.wav,3,2,3,2,2,2,3,male,happy
../data/Actor_03\03-02-04-01-01-01-03.wav,3,2,4,1,1,1,3,male,sad
../data/Actor_03\03-02-04-01-01-02-03.wav,3,2,4,1,1,2,3,male,sad
../data/Actor_03\03-02-04-01-02-01-03.wav,3,2,4,1,2,1,3,male,sad
../data/Actor_03\03-02-04-01-02-02-03.wav,3,2,4,1,2,2,3,male,sad
../data/Actor_03\03-02-04-02-01-01-03.wav,3,2,4,2,1,1,3,male,sad
../data/Actor_03\03-02-04-02-01-02-03.wav,3,2,4,2,1,2,3,male,sad
../data/Actor_03\03-02-04-02-02-01-03.wav,3,2,4,2,2,1,3,male,sad
../data/Actor_03\03-02-04-02-02-02-03.wav,3,2,4,2,2,2,3,male,sad
../data/Actor_03\03-02-05-01-01-01-03.wav,3,2,5,1,1,1,3,male,angry
../data/Actor_03\03-02-05-01-01-02-03.wav,3,2,5,1,1,2,3,male,angry
../data/Actor_03\03-02-05-01-02-01-03.wav,3,2,5,1,2,1,3,male,angry
../data/Actor_03\03-02-05-01-02-02-03.wav,3,2,5,1,2,2,3,male,angry
../data/Actor_03\03-02-05-02-01-01-03.wav,3,2,5,2,1,1,3,male,angry
../data/Actor_03\03-02-05-02-01-02-03.wav,3,2,5,2,1,2,3,male,angry
../data/Actor_03\03-02-05-02-02-01-03.wav,3,2,5,2,2,1,3,male,angry
../data/Actor_03\03-02-05-02-02-02-03.wav,3,2,5,2,2,2,3,male,angry
../data/Actor_03\03-02-06-01-01-01-03.wav,3,2,6,1,1,1,3,male,fearful
../data/Actor_03\03-02-06-01-01-02-03.wav,3,2,6,1,1,2,3,male,fearful
../data/Actor_03\03-02-06-01-02-01-03.wav,3,2,6,1,2,1,3,male,fearful
